source,target,distance,count
14.0,17.0,0.24375668481562407,2.0
0.0,6.0,0.3367579413500912,2.0
3.0,9.0,0.41498166605965514,2.0
2.0,4.0,0.4213737328827517,2.0
7.0,20.0,0.5290068684042541,3.0
11.0,19.0,0.6072757890852121,3.0
1.0,5.0,0.609467089490852,2.0
12.0,16.0,0.7056577971154798,2.0
10.0,24.0,0.8252035632212542,3.0
13.0,22.0,0.8999462459124636,4.0
8.0,15.0,0.9166021947160955,2.0
25.0,27.0,0.9781297026260318,6.0
18.0,28.0,1.1115196253040984,4.0
23.0,30.0,1.1523810912225472,7.0
21.0,31.0,1.3507743140018937,9.0
26.0,29.0,1.4606056173409896,9.0
32.0,33.0,1.6908664781579377,18.0
