UMAP_1,UMAP_2,leiden,patient_name,cell_type_scChat
9.431825,3.1902692,7,S2,Dendritic cells
-4.764877,7.634406,4,S2,Endothelial cells
11.404682,12.543267,8,S2,Plasma cells
1.4733057,4.993366,1,S2,T cells
-2.7461522,5.197696,4,S2,Endothelial cells
5.3531647,-4.8796086,14,S2,Neutrophils
-2.1184375,5.4200587,1,S2,T cells
-3.1013181,5.086114,1,S2,T cells
-2.6298666,5.670663,1,S2,T cells
11.4468565,12.850977,8,S2,Plasma cells
-4.3378654,9.61979,4,S2,Endothelial cells
2.9547062,3.7044337,0,S2,Fibroblasts
-4.330716,3.1899893,4,S2,Endothelial cells
-1.6915274,4.868846,1,S2,T cells
-4.372824,8.176227,4,S2,Endothelial cells
-2.6236134,5.611661,1,S2,T cells
-3.7694905,9.364784,4,S2,Endothelial cells
-0.59554553,6.0067844,1,S2,T cells
9.761765,12.711707,17,S2,Basophils
-1.6514683,8.360259,1,S2,T cells
5.27306,-4.7688847,14,S2,Neutrophils
-1.4479086,6.963648,1,S2,T cells
0.3868972,6.118323,1,S2,T cells
-0.96721804,4.444063,1,S2,T cells
-3.253998,5.5319214,1,S2,T cells
-2.0691016,6.3244886,1,S2,T cells
-2.769353,5.669854,1,S2,T cells
-1.4075019,6.6981688,1,S2,T cells
-1.5626128,5.1052427,1,S2,T cells
-3.4450703,7.43818,4,S2,Endothelial cells
-3.3667607,5.936108,1,S2,T cells
0.077135324,4.0934854,1,S2,T cells
-3.6683123,6.6802464,4,S2,Endothelial cells
-4.2112913,7.871165,4,S2,Endothelial cells
-1.2027293,4.398899,1,S2,T cells
-4.2452006,8.305853,4,S2,Endothelial cells
-3.9219654,3.0621548,4,S2,Endothelial cells
-2.8785424,5.406718,4,S2,Endothelial cells
-1.6634499,5.2270827,1,S2,T cells
-4.4490824,7.6820955,4,S2,Endothelial cells
1.5303711,5.366226,1,S2,T cells
2.0618744,0.6643067,0,S2,Fibroblasts
9.528994,13.396052,17,S2,Basophils
-1.8865517,5.7954354,1,S2,T cells
-1.9727663,5.0885973,1,S2,T cells
-0.3590971,7.9066515,1,S2,T cells
-5.1065035,3.9920156,4,S2,Endothelial cells
-4.7575965,5.6053166,4,S2,Endothelial cells
-3.0104861,5.572779,1,S2,T cells
0.45272282,5.908782,1,S2,T cells
-0.9890201,8.165533,1,S2,T cells
4.1275773,3.3043501,0,S2,Fibroblasts
-0.9915884,3.9951992,1,S2,T cells
1.0029514,4.89644,1,S2,T cells
-2.6955698,3.1140122,4,S2,Endothelial cells
-2.8659194,2.196649,4,S2,Endothelial cells
-1.0442717,6.999126,1,S2,T cells
-2.2850647,6.435538,1,S2,T cells
-4.0704885,9.295582,4,S2,Endothelial cells
-0.82792795,7.061984,1,S2,T cells
-2.9261549,6.924592,1,S2,T cells
-4.3023024,6.20643,4,S2,Endothelial cells
-0.13943833,6.348662,1,S2,T cells
-0.07436071,5.040186,1,S2,T cells
8.694501,14.544932,17,S2,Basophils
-4.1786985,5.1316805,4,S2,Endothelial cells
-4.296613,8.871831,4,S2,Endothelial cells
-0.6044522,5.632184,1,S2,T cells
-1.8684317,5.2187133,1,S2,T cells
-4.305639,5.766932,4,S2,Endothelial cells
-1.5271105,4.939619,1,S2,T cells
-3.6113715,3.5983582,4,S2,Endothelial cells
-3.5810506,10.803621,4,S2,Endothelial cells
-1.5022843,6.78599,1,S2,T cells
5.539932,-4.7572007,14,S2,Neutrophils
-0.12706831,6.0614715,1,S2,T cells
-4.2212706,6.347477,4,S2,Endothelial cells
1.3196251,4.4100285,0,S2,Fibroblasts
0.028700711,6.562132,1,S2,T cells
-4.576555,8.146962,4,S2,Endothelial cells
5.5129714,-4.9125786,14,S2,Neutrophils
-1.5937648,4.3309903,1,S2,T cells
-4.2864633,3.1735966,4,S2,Endothelial cells
13.828688,2.1641054,11,S2,Pericytes
-4.1243424,8.855772,4,S2,Endothelial cells
10.7443905,8.661583,2,S2,Myeloid cells
-0.76532406,6.9367833,1,S2,T cells
-0.96739906,7.8381863,1,S2,T cells
-1.7294714,5.4105816,1,S2,T cells
9.700355,12.604788,17,S2,Basophils
14.17422,1.5639498,11,S2,Pericytes
17.98623,1.9833876,12,S2,Monocytes
12.028385,11.932474,8,S2,Plasma cells
-1.2707177,4.657288,1,S2,T cells
-4.499508,6.929486,4,S2,Endothelial cells
2.5818791,4.5607486,0,S2,Fibroblasts
-3.309355,7.019808,4,S2,Endothelial cells
-4.0330224,7.324482,4,S2,Endothelial cells
-4.0198636,9.020466,4,S2,Endothelial cells
-0.33934417,4.4334445,1,S2,T cells
-3.9658213,4.3439894,4,S2,Endothelial cells
5.351079,-4.400378,14,S2,Neutrophils
14.222764,-3.0263186,3,S2,B cells
3.820226,7.2887945,6,S2,Epithelial cells
3.642644,13.059025,18,S2,Progenitor cells
-3.1419997,1.9652098,4,S2,Endothelial cells
-3.0876088,6.121073,1,S2,T cells
-3.6212778,8.849432,4,S2,Endothelial cells
-3.5737581,10.257578,4,S2,Endothelial cells
-3.5838413,10.854745,4,S2,Endothelial cells
